ordernumber,orderdate,city,state,territory,postalcode,productcode,productline,quantityordered,priceeach,msrp,sales,sales_pred_rf,ano,mes,dia_semana,error_prediccion,porcentaje_error_prediccion
10107,2003-02-24,NYC,NY,No asignado,10022,S10_1678,Motorcycles,30,95.7,95,2871.0,2869.21,2003,2,Monday,-1.79,-0.0
10121,2003-05-07,Reims,No asignado,EMEA,51100,S10_1678,Motorcycles,34,81.35,95,2765.9,2792.47,2003,5,Wednesday,26.57,0.01
10134,2003-07-01,Paris,No asignado,EMEA,75508,S10_1678,Motorcycles,41,94.74,95,3884.34,3853.08,2003,7,Tuesday,-31.26,-0.01
10145,2003-08-25,Pasadena,CA,No asignado,90003,S10_1678,Motorcycles,45,83.26,95,3746.7,3757.57,2003,8,Monday,10.87,0.0
10159,2003-10-10,San Francisco,CA,No asignado,00000,S10_1678,Motorcycles,49,100.0,95,5205.27,5381.25,2003,10,Friday,175.98,0.03
10168,2003-10-28,Burlingame,CA,No asignado,94217,S10_1678,Motorcycles,36,96.66,95,3479.76,3468.51,2003,10,Tuesday,-11.25,-0.0
10180,2003-11-11,Lille,No asignado,EMEA,59000,S10_1678,Motorcycles,29,86.13,95,2497.77,2491.86,2003,11,Tuesday,-5.91,-0.0
10188,2003-11-18,Bergen,No asignado,EMEA,N 5804,S10_1678,Motorcycles,48,100.0,95,5512.32,5358.39,2003,11,Tuesday,-153.93,-0.03
10201,2003-12-01,San Francisco,CA,No asignado,00000,S10_1678,Motorcycles,22,98.57,95,2168.54,2161.45,2003,12,Monday,-7.09,-0.0
10211,2004-01-15,Paris,No asignado,EMEA,75016,S10_1678,Motorcycles,41,100.0,95,4708.44,5079.79,2004,1,Thursday,371.35,0.08
10223,2004-02-20,Melbourne,Victoria,APAC,3004,S10_1678,Motorcycles,37,100.0,95,3965.66,4329.53,2004,2,Friday,363.87,0.09
10237,2004-04-05,NYC,NY,No asignado,10022,S10_1678,Motorcycles,23,100.0,95,2333.12,2497.95,2004,4,Monday,164.83,0.07
10251,2004-05-18,Newark,NJ,No asignado,94019,S10_1678,Motorcycles,28,100.0,95,3188.64,3147.7,2004,5,Tuesday,-40.94,-0.01
10263,2004-06-28,Bridgewater,CT,No asignado,97562,S10_1678,Motorcycles,34,100.0,95,3676.76,3624.46,2004,6,Monday,-52.3,-0.01
10275,2004-07-23,Nantes,No asignado,EMEA,44000,S10_1678,Motorcycles,45,92.83,95,4177.35,4184.61,2004,7,Friday,7.26,0.0
10285,2004-08-27,Cambridge,MA,No asignado,51247,S10_1678,Motorcycles,36,100.0,95,4099.68,4149.17,2004,8,Friday,49.49,0.01
10299,2004-09-30,Helsinki,No asignado,EMEA,21240,S10_1678,Motorcycles,23,100.0,95,2597.39,2493.4,2004,9,Thursday,-103.99,-0.04
10309,2004-10-15,Stavern,No asignado,EMEA,4110,S10_1678,Motorcycles,41,100.0,95,4394.38,5069.17,2004,10,Friday,674.79,0.15
10318,2004-11-02,Allentown,PA,No asignado,70267,S10_1678,Motorcycles,46,94.74,95,4358.04,4354.81,2004,11,Tuesday,-3.23,-0.0
10329,2004-11-15,NYC,NY,No asignado,10022,S10_1678,Motorcycles,42,100.0,95,4396.14,4820.94,2004,11,Monday,424.8,0.1
10341,2004-11-24,Salzburg,No asignado,EMEA,5020,S10_1678,Motorcycles,41,100.0,95,7737.93,5230.55,2004,11,Wednesday,-2507.38,-0.32
10361,2004-12-17,Chatswood,NSW,APAC,2067,S10_1678,Motorcycles,20,72.55,95,1451.0,1437.07,2004,12,Friday,-13.93,-0.01
10375,2005-02-03,Nantes,No asignado,EMEA,44000,S10_1678,Motorcycles,21,34.91,95,733.11,787.68,2005,2,Thursday,54.57,0.07
